type,lemme,extracted_form,lexicalized_form,mwe_type,sense,definition_en,translations,false_friend,compositionality,conventionality,difficulty_for_non_native,example
word,alley,,,,narrow passage,"A narrow passageway or confined route, especially one running between buildings or through a restricted interior space.",ruelle | passage étroit | allée,false,,,,Perhaps the smallest suggestion of a moving shadow in the alley.
word,lantern,,,,portable light,"A portable lighting device with a protective enclosure, here powered electrically by LEDs and used to illuminate dark indoor spaces.",lanterne | lampe portative,false,,,,"The LED lantern in hand, Erik finds his way to the fuse box downstairs, located somewhere on the wall behind the staircase."
word,vibrate,,,,shake rapidly,"To move repeatedly and rapidly back and forth in small motions, especially when a device produces a silent tactile alert.",vibrer | trembler,false,,,,phone vibrates and lights up
word,notice,,,,become aware,"To become aware of, perceive, or recognize someone, something, or a fact through observation, attention, or realization.",remarquer | constater | s'apercevoir de | noter,false,,,,Erik looks up; everyone else keeps moving. Brigid notices this.
word,pass,,,,hand over,"To give or transfer an object to another person, especially by hand, often so it can continue around a group.",passer | donner | tendre,false,,,,"He smashes the pig, passes the mallet to Deirdre."
word,pass,,,,move past,"To move beyond, alongside, or through the position of a person or place while continuing toward another destination.",passer | dépasser | passer devant,false,,,,Deirdre passes Erik and Momo on her way to the bathroom.
word,pass,,,,come to end,"To cease, disappear, or come to an end with the passage of time, especially a temporary condition, feeling, or difficult period.",passer | se dissiper | prendre fin,false,,,,"“This, too, shall pass,” / and I’d roll my eyes at her, but . . ."
word,hallway,,,,interior corridor,"An interior passage in a building that connects rooms, doors, stairways, elevators, or other spaces and allows people to move between them.",couloir | corridor,false,,,,"Richard goes upstairs, opens the upstairs door and waits in the hallway for Momo and Deirdre to get off the elevator."
word,weird,,,,strange unusual,"Strange, unusual, or unsettling because it differs noticeably from what is normal, expected, familiar, or socially comfortable.",bizarre | étrange | chelou | singulier,false,,,,That is the weirdest tradition—
word,latch,,,,door fastening,"A simple fastening device for a door, gate, or similar barrier, released by lifting, sliding, or otherwise moving a catch.",loquet | verrou | fermeture,false,,,,“May the Virgin and her Child lift your latch on Christmas night.”
word,willfully,,,,deliberately intentionally,"In a deliberate, intentional, and purposeful manner, often implying conscious persistence in an action or attitude despite reasons to do otherwise.",délibérément | intentionnellement | volontairement | sciemment,false,,,,"Initially, I must confess, I found Brigid’s compositions almost willfully opposed to specificity and urgency."
word,windowless,,,,without windows,"Having no windows or other glazed openings that provide outside light, views, or ventilation.",sans fenêtre | aveugle,false,,,,DOWNSTAIRS: two windowless rooms divided by an even larger open entryway—with a different floorplan than upstairs.
word,wobbly,,,,unsteady sound,"Unsteady or wavering in sound, with noticeable fluctuations in pitch, tone, or intensity rather than a smooth, stable quality.",vacillant | tremblant | chevrotant | instable,false,,,,"(Going upstairs, wobbly ghost wail)"
word,worrying,,,,feeling concerned,"Feeling anxious, uneasy, or concerned about a situation, person, or possible negative outcome.",s'inquiéter | se faire du souci | être inquiet,false,,,,"Well I don’t blame you for worrying, especially after—Brigid told me about . . ."
word,wit,,,,mental cleverness,"Mental sharpness, intelligence, or sound judgment, especially the ability to understand situations quickly and act sensibly.",esprit | intelligence | jugement | vivacité d’esprit,false,,,,"And all I’ve done for want of wit,"
word,zip,,,,postal code,A United States postal code consisting of digits used to identify a geographic area for mail sorting and delivery.,code postal | ZIP code,false,,,,zip is 18433 . . .
mwe,,rid of,get rid of,phrasal_verb,eliminate,"To remove, discard, eliminate, or free oneself from someone or something unwanted or unnecessary.",se débarrasser de | éliminer | se défaire de,,partially_compositional,high,3,"Hey, why don’t—all right, Lover-Of-All, come on, come with me, let’s get rid of some of this . . ."
mwe,,get to,get to,other,have opportunity,"To have the opportunity, privilege, or chance to do something, often implying that the opportunity is valued, limited, or unavailable.",avoir l’occasion de | avoir la chance de | pouvoir,,partially_compositional,high,3,"I got it, I never get to see her . . ."
mwe,,get to,have got to,other,be necessary,"To be required or obliged to do something because circumstances, rules, or practical necessity make it necessary.",devoir | être obligé de | falloir,,partially_compositional,high,3,you gotta take care of yourself.
mwe,,crack open,crack open,phrasal_verb,open slightly,"To open a door, window, or similar barrier only a small amount, leaving it partly closed.",entrouvrir | ouvrir légèrement,,mostly_compositional,high,2,"Brigid cracks the bathroom door open, hands Aimee the toilet paper, then shuts the door."
mwe,,crack open,crack open,phrasal_verb,open container,"To open a sealed container, especially a bottle or can of a drink, so its contents can be consumed.",ouvrir | décapsuler | ouvrir une canette de,,mostly_compositional,high,2,Erik cracks open another beer.
mwe,,smart ass,smart-ass,compound,cheeky person,"A person who behaves or speaks in an annoyingly clever, sarcastic, smug, or cheeky way, especially by making pointed remarks.",petit malin | monsieur je-sais-tout | malin | grande gueule,,partially_compositional,high,3,"Yeah, smart-ass, I’ll give you a fancy candle . . ."
mwe,,all right,all right,other,be okay,"To be in a satisfactory, safe, healthy, or emotionally stable condition, without serious difficulty or harm.",aller bien | être en état | ça va,,partially_compositional,high,2,I’m all right . . .
mwe,,all right,all right,formulaic_expression,accept proceed,"Signals acceptance, acknowledgment, readiness, or a transition to the next action or topic in conversation.",d’accord | bon | très bien | alors,,partially_compositional,high,2,"All right, let’s just, let’s show Rich how badly our voices blend, / we’ll do the money verses, yeah? . . ."
mwe,,all right,all right,formulaic_expression,seek confirmation,"Used at the end of an utterance to request confirmation, agreement, or acknowledgment from the listener.",d’accord ? | hein ? | tu vois ?,,partially_compositional,high,2,"I liked you living in Queens, all right?"
