canonical_form,surface_forms,unit_type,pos,sense_id,meaning_fr,meaning_fr_official,meaning_fr_alt,contexte_en,fr_status,definition_en,occurrences,book_count,dispersion,zipf_need,aoa_component,fr_opacity,sense_surprise,confidence,score_comprehension,score_reuse,score_default,needs_review,recovery_route,recovery_reason,candidate_senses,review_action,pknown_test,aoa_test,cefr_test,zipf_wordfreq_en,zipf_freqzipfus
notice,notice/noticed/notices/noticing,word,v,comment.v.01,remarque,,,"(Calling up) Hey, I’ll be up in a minute! . . . Bridge—hey . . . I keep noticing a lotta—you guys gotta caulk all along the molding down || The Lions are up ten. Your sense of humor is terrible. Have you guys noticed that everyone’s sense of humor is terrible except for Brigid’s? / How interesting . . . Score one for Mom! Amen, yes . . .",pending,make or write a comment on,13,13,13,0.5,0.5,0.857,0.983,0.0,0.663,0.554,0.608,True,,,comment.v.01/detect.v.01/notice.v.02/notice.v.04,,0.99,7.35,B1,4.9,4.772
good,best,word,r,better.r.02,mieux,,,"The sheets were covered in sweat last night . . . I dunno if he’s having nightmares or what— Has he tried . . . Rich sometimes takes a sleeping pill, I can ask him what kind of / medicine— Oh right like your dad’d ever try any sorta—no, no I bet . . . he’ll sleep better after seeing you guys today, it’ll be good for him . . . Okay . . . well, good . . . Brigid cracks the bathroom door open, hands Aimee the toilet paper, then shuts the door. || He won’t care . . . Tell us . . . You’ll feel better . . . Of course I’ll care. Read it to him, you’ll feel better.",pending,from a position of superiority or authority,1,1,1,0.5,0.5,1.0,1.0,0.0,0.623,0.575,0.599,True,,,best.r.01/best.r.02/better.r.02,,0.99,3.55,A1/B2,6.12,6.416
buck,bucks,word,n,dollar.n.02,dollar,,,"Hey, if you want to come home more and help control her tantrums then you can judge the way we care for her. I’m not trying to judge you I just want—can’t you hire someone / to help with—? It’d cost a hundred bucks a night to hire someone to watch her, a hundred bucks to make sure she doesn’t / fall and get hurt— Hey . . . okay— No, she needs to think before she opens her mouth.",pending,a piece of paper money worth one dollar,1,1,1,0.5,0.5,1.0,1.0,1.0,0.623,0.575,0.599,True,,,buck.n.03/buck.n.05/dollar.n.02/sawhorse.n.01/vaulting_horse.n.01,,0.99,7.68,,4.01,4.528
half,half,word,a,half.a.03,moitié,,,". . . all the time . . . . . . we know . . . DOWNSTAIRS: Brigid brings Deirdre and Momo a new Ensure shake with a freshly rinsed straw. But Momo is now half-asleep. We’ll try later, she’s gonna sleep for a bit I bet . . . Deirdre adjusts Momo’s head, maybe with a memory-foam travel pillow they always take with them. Brigid returns the shake to the kitchen. Richard abandons dinner preparations and emerges from the kitchen alley with a bottle of wine.",pending,(of siblings) related through one parent only,1,1,1,0.5,0.5,1.0,1.0,0.0,0.623,0.575,0.599,True,,,half.a.03/half.s.01/half.s.02,,1.0,5.454413000000001,A1/A2/B1,5.41,5.299
fix,fix,word,v,repair.v.01,,réparer,remettre en état/restaurer,"I’m not opening anything until the moving truck gets here— Is it in transit or / is it still— No, no it’s still stuck in Queens—Rich knows the details, but—now with the parade traffic, they won’t guarantee their mechanic’ll fix it before tomorrow . . . Brigid finds what she has been looking for: a bag with several wrapped objects. What’s all that? || spoiled you can’t see you’re crying over something hard work can fix?— Everyone whose opinion I value has read this— Your grandma grew up in a two-room cesspool and your tragedy is what—having to figure out how to get a new letter of recommendation? / Sorry if I—",auto_strong,restore by replacing a part or putting together what is torn or broken,3,3,3,0.5,0.5,1.0,0.75,0.0,0.608,0.575,0.592,True,,,cook.v.02/fasten.v.01/fix.v.06/fix.v.07/fix.v.10/fix.v.12/fixate.v.03/pay_back.v.02/repair.v.01/situate.v.02/specify.v.02/sterilize.v.02,,1.0,5.0,B1,4.75,4.938
good,good,word,r,well.r.01,bien,,,"Momo, you can absolutely come back, any time you want. Deirdre moves into the room with the recliner. This is a decent layout, Bridge . . . / good space . . . Really nice . . . It’s good, right?—I can set up my music workspace downstairs so I won’t drive Rich crazy. || . . . yeah . . . (Small beat) . . . the spots are pretty good usually . . . where they leave you off at. UPSTAIRS: Brigid is still listening to this conversation. It makes her sad. Cool, cool . . . I tend to be more of a . . . I like to wander off the beaten path . . .",pending,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),21,21,20,0.5,0.5,1.0,0.308,0.0,0.596,0.575,0.586,True,,,thoroughly.r.02/well.r.01,,0.99,3.55,A1/B2,6.12,6.416
christmas,Christmas,word,n,christmas.n.02,Noël,Noël,,"(Hurt, but trying to keep things light) —well don’t wish me a Merry Chr— we can talk again before Christmas . . . (Laying Momo on the couch) . . . uh-huh . . . || Momo’s Christmas toast . . . They all start laughing. Richard doesn’t know what this inside joke is. On Christmas, Momo—she always delivers a traditional Irish toast, it’s ancient, right? It’s ancient and it’s beautiful, but one year Aimee’s mind was in the gutter— I was twelve!",auto_strong,"a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland",4,4,4,0.5,0.5,1.0,0.6,0.0,0.593,0.575,0.584,True,,,christmas.n.01/christmas.n.02,,0.99,4.346085,,4.91,5.087
apologize,apologize,word,v,apologize.v.02,excuser,,,"wrong with me, it’s not a news flash. Mom—I will, but—I don’t [think that]—I think something’s wrong with everyone—please don’t act like a martyr / when I’m trying to apologize . . . you think I’m wrong to not wanna get married in a church so— Hey, hey, you’re sorry, don’t (Barely audible)",pending,"defend, explain, clear away, or make excuses for by reasoning",1,1,1,0.5,0.5,0.875,1.0,0.0,0.604,0.556,0.58,True,,,apologize.v.01/apologize.v.02,,0.99,5.67,A2,4.16,4.693
embarrassed,embarrassed,word,a,embarrassed.s.02,,gêné,honteux/mortifié,"Like a trust fund? Pass the . . . / yeah, thanks . . . Sorry—babe, sorry, don’t be embarrassed . . . I’m not embarrassed— —it’s actually great—his || Pass the . . . / yeah, thanks . . . Sorry—babe, sorry, don’t be embarrassed . . . I’m not embarrassed— —it’s actually great—his grandmother didn’t want him",auto_corroborated,made to feel uncomfortable because of shame or wounded pride,3,3,3,0.5,0.5,0.789,1.0,0.0,0.614,0.543,0.579,True,,,abashed.s.01/embarrassed.s.02,,1.0,7.83,B1,4.05,4.331
god,God,word,n,deity.n.01,dieu,,,"Gradually his attention shifts away from the noise; he continues to explore the space when— Another sickening thud sounds from above, startling him. He looks up. [God, what the hell is that?] A toilet flush. Aimee and Brigid enter through the main door carrying a few plastic bags. || What? / What’s wrong? Hey you okay? It was a rat or something . . . oh God . . . where did it go? / Did you see it? Brigid shines her flashlight on the floor. Erik and Richard arrive upstairs. What’s wrong you okay? /",pending,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,29,29,26,0.5,0.5,0.714,0.776,0.0,0.624,0.532,0.578,True,,,deity.n.01/god.n.01/god.n.03/idol.n.01,,1.0,4.346085,B2,5.57,5.955
