word,recliner,,,,reclining chair,"An upholstered armchair with an adjustable back and often a movable footrest, designed so the sitter can lean backward into a more relaxed position.",fauteuil inclinable | fauteuil relax,false,,,,"Scranton, I don’t need an oversized recliner in every room.",zone-02/zone-09/zone-11,"2,9,11",4.9-9.2 | 40.3-45.3 | 50.0-55.2,2,11,4,3,4
word,staircase,,,,set of stairs,"A structure consisting of a flight or series of stairs, often with supporting elements and railings, providing passage between different levels of a building.",escalier | cage d’escalier,false,,,,The two floors are connected via a spiral staircase.,zone-01/zone-02/zone-03/zone-10,"1,2,3,10",0.0-4.9 | 4.9-9.2 | 9.2-15.5 | 45.3-50.0,1,10,4,4,4
word,audible,,,,able to hear,"Loud or clear enough to be heard by the human ear, even if the content itself may remain difficult to understand.",audible | perceptible | que l’on peut entendre,false,,,,(Barely audible),zone-16/zone-20,"16,20",74.8-80.3 | 94.2-100.0,16,20,3,2,3
word,backyard,,,,rear yard,"An outdoor area of private ground directly behind a house or other residence, typically used as a garden, lawn, or recreational space.",jardin derrière la maison | arrière-cour | jardin,false,,,,The cone was made out of grass from my backyard . . . ?,zone-16,16,74.8-80.3,16,16,3,1,3
word,cone,,,,conical object,"An object or form shaped like a cone, narrowing from a broad circular base toward a point, here specifically resembling an ice-cream cone.",cône | cornet,false,,,,Last week I dreamed I fell into an ice-cream cone made of grass and became a baby.,zone-14/zone-16,"14,16",65.1-69.9 | 74.8-80.3,14,16,3,2,3
word,hell,,,,emphatic intensifier,"Used in questions to add strong emphasis, irritation, surprise, or bewilderment, especially in constructions such as “what the hell” or “who the hell.”",diable | bordel | bon sang,false,,,,[What the hell was that?],zone-04/zone-08,"4,8",15.5-20.0 | 35.0-40.3,4,8,3,2,3
word,alley,,,,narrow passage,"A narrow passageway or confined route, especially one running between buildings or through a restricted interior space.",ruelle | passage étroit | allée,false,,,,A small kitchen alley is wedged awkwardly behind the spiral staircase.,zone-03/zone-05/zone-14,"3,5,14",9.2-15.5 | 20.0-25.1 | 65.1-69.9,3,14,3,3,3
word,basement,,,,below-ground level,"A floor or enclosed part of a building situated wholly or partly below ground level, often used for storage, utilities, or living space.",sous-sol | cave,false,,,,"The apartment is a touch ghostly, but not in a forced manner; empty pre-war basement apartments are effortlessly uncanny.",zone-01/zone-03,"1,3",0.0-4.9 | 9.2-15.5,1,3,2,2,2
word,blacken,,,,make black,"To make or become black, dark, or markedly darker in color or appearance.",noircir | assombrir,false,,,,Nevery blacken where you come,zone-20,20,94.2-100.0,20,20,2,1,2
word,chair,,,,seat furniture,"A piece of furniture designed for one person to sit on, typically having a seat, back, and often four legs.",chaise | fauteuil,false,,,,This is a fancy chair . . .,zone-09,9,40.3-45.3,9,9,2,1,1
