type,lemme,extracted_form,lexicalized_form,mwe_type,sense,definition_en,translations,false_friend,compositionality,conventionality,difficulty_for_non_native,example,zone_ids,zone_ordinals,zone_ranges_pct,first_zone,last_zone,nb_occurrences,nb_zones,nb_segments
word,alley,,,,narrow passage,"A narrow passageway or confined route, especially one running between buildings or through a restricted interior space.",ruelle | passage étroit | allée,false,,,,Perhaps the smallest suggestion of a moving shadow in the alley.,zone-01/zone-02/zone-03/zone-04/zone-07/zone-08/zone-11/zone-19/zone-20,"1,2,3,4,7,8,11,19,20",0.0-4.9 | 4.9-10.0 | 10.0-15.0 | 15.0-19.9 | 30.0-34.9 | 34.9-40.0 | 50.0-55.0 | 90.0-95.0 | 95.0-100.0,1,20,19,9,18
word,lantern,,,,portable light,"A portable lighting device with a protective enclosure, here powered electrically by LEDs and used to illuminate dark indoor spaces.",lanterne | lampe portative,false,,,,"The LED lantern in hand, Erik finds his way to the fuse box downstairs, located somewhere on the wall behind the staircase.",zone-11/zone-19/zone-20,"11,19,20",50.0-55.0 | 90.0-95.0 | 95.0-100.0,11,20,16,3,16
word,vibrate,,,,shake rapidly,"To move repeatedly and rapidly back and forth in small motions, especially when a device produces a silent tactile alert.",vibrer | trembler,false,,,,phone vibrates and lights up,zone-20,20,95.0-100.0,20,20,16,1,16
word,notice,,,,become aware,"To become aware of, perceive, or recognize someone, something, or a fact through observation, attention, or realization.",remarquer | constater | s'apercevoir de | noter,false,,,,Erik looks up; everyone else keeps moving. Brigid notices this.,zone-01/zone-02/zone-04/zone-08/zone-09/zone-11/zone-12/zone-13/zone-17/zone-19/zone-20,"1,2,4,8,9,11,12,13,17,19,20",0.0-4.9 | 4.9-10.0 | 15.0-19.9 | 34.9-40.0 | 40.0-45.0 | 50.0-55.0 | 55.0-60.0 | 60.0-65.0 | 80.0-85.0 | 90.0-95.0 | 95.0-100.0,1,20,15,11,15
word,pass,,,,hand over,"To give or transfer an object to another person, especially by hand, often so it can continue around a group.",passer | donner | tendre,false,,,,"He smashes the pig, passes the mallet to Deirdre.",zone-06/zone-07/zone-09/zone-12/zone-13/zone-15/zone-16/zone-17/zone-19/zone-20,"6,7,9,12,13,15,16,17,19,20",25.0-30.0 | 30.0-34.9 | 40.0-45.0 | 55.0-60.0 | 60.0-65.0 | 70.0-75.0 | 75.0-80.0 | 80.0-85.0 | 90.0-95.0 | 95.0-100.0,6,20,15,10,14
word,pass,,,,move past,"To move beyond, alongside, or through the position of a person or place while continuing toward another destination.",passer | dépasser | passer devant,false,,,,Deirdre passes Erik and Momo on her way to the bathroom.,zone-06/zone-07/zone-09/zone-12/zone-13/zone-15/zone-16/zone-17/zone-19/zone-20,"6,7,9,12,13,15,16,17,19,20",25.0-30.0 | 30.0-34.9 | 40.0-45.0 | 55.0-60.0 | 60.0-65.0 | 70.0-75.0 | 75.0-80.0 | 80.0-85.0 | 90.0-95.0 | 95.0-100.0,6,20,15,10,14
word,pass,,,,come to end,"To cease, disappear, or come to an end with the passage of time, especially a temporary condition, feeling, or difficult period.",passer | se dissiper | prendre fin,false,,,,"“This, too, shall pass,” / and I’d roll my eyes at her, but . . .",zone-06/zone-07/zone-09/zone-12/zone-13/zone-15/zone-16/zone-17/zone-19/zone-20,"6,7,9,12,13,15,16,17,19,20",25.0-30.0 | 30.0-34.9 | 40.0-45.0 | 55.0-60.0 | 60.0-65.0 | 70.0-75.0 | 75.0-80.0 | 80.0-85.0 | 90.0-95.0 | 95.0-100.0,6,20,15,10,14
word,hallway,,,,interior corridor,"An interior passage in a building that connects rooms, doors, stairways, elevators, or other spaces and allows people to move between them.",couloir | corridor,false,,,,"Richard goes upstairs, opens the upstairs door and waits in the hallway for Momo and Deirdre to get off the elevator.",zone-02/zone-08/zone-11/zone-18/zone-20,"2,8,11,18,20",4.9-10.0 | 34.9-40.0 | 50.0-55.0 | 85.0-90.0 | 95.0-100.0,2,20,12,5,12
word,weird,,,,strange unusual,"Strange, unusual, or unsettling because it differs noticeably from what is normal, expected, familiar, or socially comfortable.",bizarre | étrange | chelou | singulier,false,,,,That is the weirdest tradition—,zone-02/zone-05/zone-09/zone-15/zone-16,"2,5,9,15,16",4.9-10.0 | 19.9-25.0 | 40.0-45.0 | 70.0-75.0 | 75.0-80.0,2,16,12,5,10
word,latch,,,,door fastening,"A simple fastening device for a door, gate, or similar barrier, released by lifting, sliding, or otherwise moving a catch.",loquet | verrou | fermeture,false,,,,“May the Virgin and her Child lift your latch on Christmas night.”,zone-13,13,60.0-65.0,13,13,3,1,3
word,willfully,,,,deliberately intentionally,"In a deliberate, intentional, and purposeful manner, often implying conscious persistence in an action or attitude despite reasons to do otherwise.",délibérément | intentionnellement | volontairement | sciemment,false,,,,"Initially, I must confess, I found Brigid’s compositions almost willfully opposed to specificity and urgency.",zone-14,14,65.0-70.0,14,14,1,1,1
word,windowless,,,,without windows,"Having no windows or other glazed openings that provide outside light, views, or ventilation.",sans fenêtre | aveugle,false,,,,DOWNSTAIRS: two windowless rooms divided by an even larger open entryway—with a different floorplan than upstairs.,zone-01,1,0.0-4.9,1,1,1,1,1
word,wobbly,,,,unsteady sound,"Unsteady or wavering in sound, with noticeable fluctuations in pitch, tone, or intensity rather than a smooth, stable quality.",vacillant | tremblant | chevrotant | instable,false,,,,"(Going upstairs, wobbly ghost wail)",zone-15,15,70.0-75.0,15,15,1,1,1
word,worrying,,,,feeling concerned,"Feeling anxious, uneasy, or concerned about a situation, person, or possible negative outcome.",s'inquiéter | se faire du souci | être inquiet,false,,,,"Well I don’t blame you for worrying, especially after—Brigid told me about . . .",zone-11,11,50.0-55.0,11,11,1,1,1
word,wit,,,,mental cleverness,"Mental sharpness, intelligence, or sound judgment, especially the ability to understand situations quickly and act sensibly.",esprit | intelligence | jugement | vivacité d’esprit,false,,,,"And all I’ve done for want of wit,",zone-03,3,10.0-15.0,3,3,1,1,1
word,zip,,,,postal code,A United States postal code consisting of digits used to identify a geographic area for mail sorting and delivery.,code postal | ZIP code,false,,,,zip is 18433 . . .,zone-17,17,80.0-85.0,17,17,1,1,1
mwe,,rid of,get rid of,phrasal_verb,eliminate,"To remove, discard, eliminate, or free oneself from someone or something unwanted or unnecessary.",se débarrasser de | éliminer | se défaire de,,partially_compositional,high,3,"Hey, why don’t—all right, Lover-Of-All, come on, come with me, let’s get rid of some of this . . .",zone-15,15,70.0-75.0,15,15,1,1,1
mwe,,get to,get to,other,have opportunity,"To have the opportunity, privilege, or chance to do something, often implying that the opportunity is valued, limited, or unavailable.",avoir l’occasion de | avoir la chance de | pouvoir,,partially_compositional,high,3,"I got it, I never get to see her . . .",zone-02/zone-03/zone-04/zone-06/zone-07/zone-08/zone-10/zone-11/zone-12/zone-13/zone-14/zone-15/zone-18/zone-19/zone-20,"2,3,4,6,7,8,10,11,12,13,14,15,18,19,20",4.9-10.0 | 10.0-15.0 | 15.0-19.9 | 25.0-30.0 | 30.0-34.9 | 34.9-40.0 | 45.0-50.0 | 50.0-55.0 | 55.0-60.0 | 60.0-65.0 | 65.0-70.0 | 70.0-75.0 | 85.0-90.0 | 90.0-95.0 | 95.0-100.0,2,20,21,15,21
