word_en,word_fr,meaning_en,meaning_fr_lookalike
actually,actuellement,in fact / really,currently
eventually,éventuellement,finally / in the end,possibly
library,librairie,a place to borrow books,a bookstore
attend,attendre,to be present at,to wait
sensible,sensible,reasonable / practical,sensitive
deception,déception,the act of deceiving,disappointment
coin,coin,a piece of money,a corner
pain,pain,physical suffering,bread
chair,chair,a seat,flesh
car,car,an automobile,because (conjunction) / coach (bus)
main,main,principal / most important,hand
bless,blesser,to bless (religious),to wound / hurt
rest,rester,to relax / take a break,to stay / remain
demand,demander,to insist on / require,to ask
achieve,achever,to accomplish / succeed at,to finish off / complete
assist,assister,to help,to attend (a meeting/event)
cave,cave,a natural underground chamber,a wine cellar / basement
large,large,big in size,wide / broad
prune,prune,a dried plum / to trim (verb),a fresh plum
figure,figure,a number / a shape,a face
raisin,raisin,a dried grape,a fresh grape
journey,journée,a trip / voyage,a day
location,location,a place / site,a rental
pass,pass,to succeed at an exam,to spend (time) / to pass by
grief,grief,deep sorrow,a grievance / complaint
avert,avertir,to avoid / turn away,to warn
crayon,crayon,a wax coloring stick,a pencil
envy,envie,jealousy of someone else,a desire / craving
formidable,formidable,dreadful / intimidating,great / terrific
introduce,introduire,to present (someone),to insert
notice,notice,to remark / an official announcement,an instructions leaflet
occasion,occasion,an event,an opportunity / a secondhand item
sale,sale,a transaction / selling event,dirty
sympathetic,sympathique,compassionate,nice / friendly
rude,rude,impolite,harsh / rough (e.g. a climate)
